"Energy Usage for family of four, townhouse condominium",,,,,,
Date,HighTemp (Celcius),LowTemp (Celcius),Off-Peak (kWh),Mid-Peak (kWh),On-Peak (kWh),Total (kWh)
2016-01-01,0,-8,326.43,78.14,61.17,465.74
2016-02-01,2,-7,282.57,74.36,59.46,416.39
2016-03-01,7,-2,318.52,57.26,55.26,431.04
2016-04-01,10,0,316.53,44.09,49.68,410.3
2016-05-01,20,9,392.66,67.42,49.8,509.88
2016-06-01,26,14,458.05,109.62,99.56,667.23
2016-07-01,29,18,621.44,157.46,160.71,939.61
2016-08-01,30,19,609.4,141.92,177.32,928.64
2016-09-01,25,14,333.21,78.04,70.87,482.12
2016-10-01,16,8,276.05,42.78,33.77,352.6
2016-11-01,11,2,270.89,46.55,46.36,363.8
2016-12-01,1,-5,306.43,48.89,59.74,415.06
2017-01-01,1,-4,304.58,50.46,54.31,409.35
2017-02-01,3,-4,270.13,48.41,51.83,370.37
2017-03-01,3,-5,280.6,63.97,59.79,404.36
2017-04-01,14,4,265.31,59.54,46.84,371.69
2017-05-01,17,8,283.86,65.18,56.76,405.8
2017-06-01,25,14,305.82,61.63,55.59,423.04
2017-07-01,27,17,536.29,76.31,71.39,683.99
2017-08-01,25,15,457.66,76.49,86.89,621.04
2017-09-01,24,13,396.95,78.63,78.16,553.74
2017-10-01,18,8,257.19,40.83,52.33,350.35
2017-11-01,7,0,244.58,41.54,63.91,350.03
2017-12-01,-2,-9,337.31,49.62,55.14,442.07
2018-01-01,-1,-10,303.3,60.24,75.36,438.9
2018-02-01,3,-6,269.4,37.49,62.27,369.16
2018-03-01,4,-4,285.27,52.59,62.1,399.96
2018-04-01,8,-1,301,46.95,53.14,401.09
2018-05-01,23,11,346.71,76.16,60.62,483.49
2018-06-01,25,14,443.22,97.04,99.34,639.6
2018-07-01,29,18,733.41,144.35,171.63,1049.39
2018-08-01,28,19,788.58,172.98,166.17,1127.73
2018-09-01,24,14,385.94,74.43,63.86,524.23
2018-10-01,13,5,207.28,55.2,58.18,320.66
2018-11-01,4,-1,202.73,42.38,59.95,305.06
2018-12-01,3,-3,300.59,43.37,54.81,398.77
2019-01-01,-2,-11,310.4,55.54,71.01,436.95
2019-02-01,0,-8,302.68,53.39,63.34,419.41
2019-03-01,3,-5,291.92,46.63,54.18,392.73
2019-04-01,11,2,241.34,36.98,55.09,333.41
2019-05-01,17,7,257.46,47.1,76.8,381.36
2019-06-01,23,13,292.61,52.12,72.92,417.65
2019-07-01,29,18,635.67,160.09,174.38,970.14
2019-08-01,26,16,618.35,159.06,162.57,939.98
2019-09-01,22,13,413.82,73.27,98.57,585.66
2019-10-01,15,6,300.2,37.06,61.68,398.94
2019-11-01,5,-3,313.02,48.53,58.39,419.94
2019-12-01,3,-4,346.04,56.34,61.14,463.52
2020-01-01,2,-5,278.78,56.9,64.78,400.46
2020-02-01,1,-7,293.78,48.83,52.69,395.3
2020-03-01,7,-1,348.67,42.32,42.55,433.54
2020-04-01,11,1,439.75,0,0,439.75
2020-05-01,17,7,669.39,0,0,669.39
2020-06-01,27,14,1002.86,0,0,1002.86
2020-07-01,30,20,1441.36,0,0,1441.36
2020-08-01,27,17,919.58,0,0,919.58
2020-09-01,22,12,583.42,0,0,583.42
2020-10-01,14,5,400.34,0,0,400.34
2020-11-01,11,2,264.19,56.3,63.34,383.83
2020-12-01,3,-3,314.55,96.35,89.82,500.72